;Buts;Tirs;Jaune;Rouge;Possession;PassesReuss;DuelsAeriens;TirsContre;Tacles;Interception;Fautes;HorsJeu;TirsCadres;Dribbles;FautesSubies;Ligue
Leganes;15;11;44;1;43,5;69,2;18,5;11,3;20,4;14;16,7;2,6;4,1;7,5;14,1;Espagne
Real Betis;33;10,9;46;3;54,9;84,8;11,3;13,6;15,3;9,9;13,1;2;4,4;9,8;11,5;Espagne
Espanyol;16;10,1;43;1;45,4;73,9;16,3;13,4;18,6;13,7;13;1,9;3,5;7,5;14,1;Espagne
Getafe;23;10,2;61;2;42,2;66,4;13,9;10,7;19,1;13,9;18,2;3,4;3,8;6,9;12,8;Espagne
Eibar;24;11,5;38;2;50,4;73,4;18,9;8;17,9;15,7;12,9;2,8;3,8;8,6;11,6;Espagne
Deportivo La Coruna;21;13,4;52;0;49,2;78,1;14,1;12,9;18,4;13,2;14,2;2,2;4;9,6;13,4;Espagne
Alaves;14;10,8;61;2;42;72,7;14,5;13,4;18,3;12,8;16,7;2,6;3,4;9,1;14,8;Espagne
Levante;15;10,6;47;2;44,8;75,4;12,4;12,8;15,7;11,2;15,2;1,6;3,1;8,2;11,8;Espagne
Malaga;13;12,2;49;3;47,6;77,1;14,9;12,2;18,4;12,6;15,3;2,3;3,5;7,6;12,2;Espagne
Las Palmas;14;10,7;41;1;54,9;84;9,8;15,1;17,4;12,6;11,3;2,2;4,2;12,7;17,7;Espagne
Bayern Munich;40;19,3;24;0;61,8;87,5;17,3;9;17,8;13,4;10,8;2,4;7;7,6;11,8;Allemagne
Borussia Dortmund;39;15,8;16;3;59,7;83,9;17,9;9,7;18,7;13;11,6;2,2;5,7;8,3;13;Allemagne
RasenBallsport Leipzig;30;14,9;24;4;54,8;80,3;19,6;11,5;20,7;17,3;13,8;2,8;5,6;11,8;13,9;Allemagne
Bayer Leverkusen;35;15,1;33;2;51,8;80,2;17,6;11,3;18,9;15,3;14,3;1,9;5,4;7,6;14,2;Allemagne
Augsburg;28;13,8;31;0;46,3;72,2;22,4;13,3;21,4;17,1;13,6;2,2;4,8;5,3;12,4;Allemagne
Schalke 04;29;12,6;39;0;50,1;80,6;17,4;10,5;21,1;17,8;16,8;2,2;5,1;9,2;15,9;Allemagne
Eintracht Frankfurt;21;11,6;39;1;46,6;73;23,1;12,2;18,7;19,9;17,4;2,7;4,6;6,8;14,1;Allemagne
Hoffenheim;28;12,9;40;0;52;82;13,6;14,3;21,3;13,4;15,5;2,1;4,8;7,2;13,5;Allemagne
Wolfsburg;21;10,2;25;2;50;79,7;18,6;13,9;17,6;17,1;12;1,8;3,9;6,8;14,9;Allemagne
Hannover 96;27;13,4;37;0;48,5;73,4;25,8;14,9;18,2;15,5;14,7;1,6;4,2;5,6;14,2;Allemagne
Borussia M.Gladbach;28;13,3;26;0;50,9;82,4;15,4;15,5;19,6;15,4;11,6;2,1;4,9;8,3;11,2;Allemagne
Hertha Berlin;26;9,3;27;3;46,1;76,4;20,8;13,2;20,2;16,1;13,9;1,4;4,2;6,9;14,2;Allemagne
Werder Bremen;14;12,7;28;0;46,3;74,9;20,7;13,8;19,9;18,6;15,1;1,9;4,1;6,2;13,1;Allemagne
VfB Stuttgart;14;11,5;28;1;49,5;79;20,5;12,6;21;17,3;14,2;2,7;3,7;7,8;13;Allemagne
Freiburg;18;12,7;26;3;45,6;74,4;22,6;15,9;18,3;15,4;12,9;1,3;3,9;6,2;12,9;Allemagne
Mainz 05;21;12,6;33;1;47,4;75,4;20,7;13,4;19,5;16,9;16,1;2;4,4;7,7;13,6;Allemagne
Hamburger SV;15;11,8;30;2;47,4;71,2;21,7;13,7;22;15;14,9;1,6;4,1;6,1;14,4;Allemagne
FC Cologne;12;12,5;34;1;45,3;75,2;20,5;17,1;21;16,3;14,7;2,2;3,6;6,3;13,3;Allemagne
Paris Saint Germain;59;17,5;35;3;63,7;89,4;9,6;9,4;17,4;9,3;11,3;2,4;6,8;17,1;14,1;France
Lyon;47;14,3;38;2;53,2;83,8;15;12,6;17,7;12,9;13,3;2,5;6;13,6;14,4;France
Marseille;43;16,6;48;2;55,3;84,5;14,7;11;19;12;13,4;1,6;5,9;13,5;11,5;France
Monaco;48;13,5;41;0;51,7;81,5;16,5;11,4;18,7;12,6;13,8;2;5;10,1;14,6;France
Montpellier;17;12;48;1;47,1;78,4;16,9;10,1;17,8;13,6;12,2;1,8;3,6;10,3;15,7;France
Guingamp;23;11,9;32;2;49,8;80,1;17;12,2;16;13,1;12,9;2,6;4,3;10,1;14,4;France
Dijon;29;12,4;40;4;49,6;78,6;16,8;13,9;18,9;15,1;13,1;2,1;4,6;10,9;12,8;France
Nantes;18;12,4;33;4;44,4;73,6;17,4;12,8;19,7;12,2;13,2;2,4;3,6;8,9;11,8;France
Nice;27;12,4;45;3;56,3;87,7;11,1;13;15,7;11,2;12;1,7;5;11,8;12,7;France
Caen;14;13;36;2;46,4;74,3;22,9;11,1;19,2;13;13,8;2,2;3,1;8,3;12,2;France
Rennes;24;12,4;37;4;49,1;77,3;18,5;11,5;18;11,6;13,3;1,9;3,5;9,6;15,1;France
Strasbourg;24;11,2;39;3;48,1;77;17,1;14,3;20;14,4;13,5;1,9;3,6;10,5;10,5;France
Amiens;16;9,6;42;2;45;74,1;16,3;15,5;17,8;14,4;12,9;2,3;2,7;9,9;13;France
Bordeaux;23;12,7;49;1;50,8;80,9;15;10,8;18,3;12,9;14,8;2,2;3,8;11,6;13,3;France
Lille;18;11,3;43;5;55,2;82,8;14,5;13,4;17,6;13,5;14,1;2,7;3,7;14,3;12,3;France
Saint-Etienne;20;10,7;46;7;48,4;78,6;16;14,5;18,7;10;14,6;2,4;3,7;10,1;13,1;France
Troyes;20;9,6;44;5;44;76,2;16,4;13,7;17,5;11,6;13,7;1,9;3,4;6,8;11,2;France
Toulouse;18;11,3;55;1;47,8;74,3;21,1;12,2;17,6;11,6;17,1;2,1;3,5;8,9;13,4;France
Metz;14;11,8;41;4;46,4;77,7;15,5;14,1;18,5;14,3;13,9;2;4,4;8,9;11,9;France
Angers;22;11,8;47;2;47,4;77,5;17,5;11,5;18,1;10,9;14,5;1,7;4,1;8,6;12;France
